Domain,Area,Element,Item,Year,Source,Unit,Value
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1961,FAO TIER 1,kilotonnes,1841.0876
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1962,FAO TIER 1,kilotonnes,1896.966
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1963,FAO TIER 1,kilotonnes,1942.8741
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1964,FAO TIER 1,kilotonnes,2004.8762
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1965,FAO TIER 1,kilotonnes,2077.2466
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1966,FAO TIER 1,kilotonnes,2169.9208
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1967,FAO TIER 1,kilotonnes,2244.1666
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1968,FAO TIER 1,kilotonnes,2315.4871
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1969,FAO TIER 1,kilotonnes,2362.2394
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1970,FAO TIER 1,kilotonnes,2431.8537
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1971,FAO TIER 1,kilotonnes,2509.3822
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1972,FAO TIER 1,kilotonnes,2570.7062
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1973,FAO TIER 1,kilotonnes,2655.627
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1974,FAO TIER 1,kilotonnes,2687.2115
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1975,FAO TIER 1,kilotonnes,2810.9139
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1976,FAO TIER 1,kilotonnes,2864.5823
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1977,FAO TIER 1,kilotonnes,2937.1187
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1978,FAO TIER 1,kilotonnes,3040.2143
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1979,FAO TIER 1,kilotonnes,3098.3484
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1980,FAO TIER 1,kilotonnes,3188.0713
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1981,FAO TIER 1,kilotonnes,3221.6592
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1982,FAO TIER 1,kilotonnes,3269.4507
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1983,FAO TIER 1,kilotonnes,3345.056
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1984,FAO TIER 1,kilotonnes,3443.5388
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1985,FAO TIER 1,kilotonnes,3457.9501
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1986,FAO TIER 1,kilotonnes,3514.0562
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1987,FAO TIER 1,kilotonnes,3564.9795
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1988,FAO TIER 1,kilotonnes,3641.0252
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1989,FAO TIER 1,kilotonnes,3688.6009
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1990,FAO TIER 1,kilotonnes,3697.8119
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1991,FAO TIER 1,kilotonnes,3671.719
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1992,FAO TIER 1,kilotonnes,3664.9668
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1993,FAO TIER 1,kilotonnes,3628.4738
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1994,FAO TIER 1,kilotonnes,3680.2324
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1995,FAO TIER 1,kilotonnes,3779.2238
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1996,FAO TIER 1,kilotonnes,3885.6793
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1997,FAO TIER 1,kilotonnes,3854.1834
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1998,FAO TIER 1,kilotonnes,3880.0493
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,1999,FAO TIER 1,kilotonnes,3935.0351
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2000,FAO TIER 1,kilotonnes,3892.404
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2001,FAO TIER 1,kilotonnes,3927.4332
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2002,FAO TIER 1,kilotonnes,3998.1757
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2003,FAO TIER 1,kilotonnes,4068.2245
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2004,FAO TIER 1,kilotonnes,4183.9721
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2005,FAO TIER 1,kilotonnes,4230.6632
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2006,FAO TIER 1,kilotonnes,4290.4569
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2007,FAO TIER 1,kilotonnes,4393.5892
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2008,FAO TIER 1,kilotonnes,4433.1929
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2009,FAO TIER 1,kilotonnes,4466.2523
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2010,FAO TIER 1,kilotonnes,4534.9236
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2011,FAO TIER 1,kilotonnes,4630.0488
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2012,FAO TIER 1,kilotonnes,4664.4719
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2013,FAO TIER 1,kilotonnes,4750.5159
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2014,FAO TIER 1,kilotonnes,4791.4723
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2015,FAO TIER 1,kilotonnes,4809.0695
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2016,FAO TIER 1,kilotonnes,4892.1391
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2017,FAO TIER 1,kilotonnes,4967.4029
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2018,FAO TIER 1,kilotonnes,4961.345
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2019,FAO TIER 1,kilotonnes,5000.1729
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2020,FAO TIER 2,kilotonnes,5088.611757
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2021,FAO TIER 3,kilotonnes,5140.464277
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2022,FAO TIER 4,kilotonnes,5192.316796
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2023,FAO TIER 5,kilotonnes,5244.169316
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2024,FAO TIER 6,kilotonnes,5296.021836
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2025,FAO TIER 7,kilotonnes,5347.874356
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2026,FAO TIER 8,kilotonnes,5399.726875
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2027,FAO TIER 9,kilotonnes,5451.579395
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2028,FAO TIER 10,kilotonnes,5503.431915
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2029,FAO TIER 11,kilotonnes,5555.284435
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2030,FAO TIER 12,kilotonnes,5607.136955
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2031,FAO TIER 13,kilotonnes,5658.989474
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2032,FAO TIER 14,kilotonnes,5710.841994
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2033,FAO TIER 15,kilotonnes,5762.694514
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2034,FAO TIER 16,kilotonnes,5814.547034
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2035,FAO TIER 17,kilotonnes,5866.399554
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2036,FAO TIER 18,kilotonnes,5918.252073
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2037,FAO TIER 19,kilotonnes,5970.104593
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2038,FAO TIER 20,kilotonnes,6021.957113
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2039,FAO TIER 21,kilotonnes,6073.809633
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2040,FAO TIER 22,kilotonnes,6125.662152
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2041,FAO TIER 23,kilotonnes,6177.514672
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2042,FAO TIER 24,kilotonnes,6229.367192
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2043,FAO TIER 25,kilotonnes,6281.219712
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2044,FAO TIER 26,kilotonnes,6333.072232
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2045,FAO TIER 27,kilotonnes,6384.924751
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2046,FAO TIER 28,kilotonnes,6436.777271
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2047,FAO TIER 29,kilotonnes,6488.629791
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2048,FAO TIER 30,kilotonnes,6540.482311
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2049,FAO TIER 31,kilotonnes,6592.334831
Emissions Totals,World,Direct emissions (N2O),Agricultural Soils,2050,FAO TIER 32,kilotonnes,6644.18735
